,driver_standings)_id,race_id,driver_id,points,position,position_text,wins
804,12920,58,13,20.0,5,5,0
805,12919,58,32,1.0,15,15,0
806,12918,58,3,4.0,13,13,0
807,12917,58,17,6.0,11,11,0
808,12916,58,31,15.0,7,7,0
809,12915,58,18,16.0,6,6,0
810,12914,58,8,27.0,3,3,0
811,12913,58,30,39.0,2,2,2
812,12912,58,4,54.0,1,1,3
813,12956,59,36,0.0,23,23,0
814,12955,59,34,0.0,22,22,0
815,12954,59,27,0.0,19,19,0
816,12953,59,35,6.0,13,13,0
817,12952,59,21,27.0,3,3,1
818,12951,59,11,0.0,21,21,0
819,12950,59,33,0.0,20,20,0
820,12949,59,15,0.0,16,16,0
821,12948,59,22,13.0,8,8,0
822,12947,59,23,8.0,9,9,0
823,12946,59,26,0.0,17,17,0
824,12945,59,2,8.0,10,10,0
825,12944,59,24,0.0,18,18,0
826,12943,59,14,7.0,11,11,0
827,12942,59,13,20.0,6,6,0
828,12941,59,32,1.0,15,15,0
829,12940,59,3,4.0,14,14,0
830,12939,59,17,6.0,12,12,0
831,12938,59,31,23.0,5,5,0
832,12937,59,18,16.0,7,7,0
833,12936,59,8,27.0,4,4,0
834,12935,59,30,43.0,2,2,2
835,12934,59,4,64.0,1,1,4
836,12979,60,36,0.0,23,23,0
837,12978,60,34,0.0,22,22,0
838,12977,60,27,0.0,19,19,0
839,12976,60,35,7.0,12,12,0
840,12975,60,21,32.0,4,4,1
841,12974,60,11,0.0,21,21,0
842,12973,60,33,0.0,20,20,0
843,12972,60,15,0.0,16,16,0
844,12971,60,22,13.0,8,8,0
845,12970,60,23,8.0,10,10,0
846,12969,60,26,0.0,17,17,0
847,12968,60,2,10.0,9,9,0
848,12967,60,24,0.0,18,18,0
849,12966,60,14,7.0,11,11,0
850,12965,60,13,24.0,6,6,0
851,12964,60,32,1.0,15,15,0
852,12963,60,3,4.0,14,14,0
853,12962,60,17,6.0,13,13,0
854,12961,60,31,26.0,5,5,0
855,12960,60,18,16.0,7,7,0
856,12959,60,8,33.0,3,3,0
857,12958,60,30,51.0,2,2,2
858,12957,60,4,74.0,1,1,5
859,13002,61,36,0.0,23,23,0
860,13001,61,34,0.0,22,22,0
861,13000,61,27,0.0,19,19,0
862,12999,61,35,7.0,12,12,0
863,12998,61,21,37.0,4,4,1
864,12997,61,11,0.0,21,21,0
865,12996,61,33,0.0,20,20,0
866,12995,61,15,3.0,15,15,0
867,12994,61,22,13.0,8,8,0
868,12993,61,23,8.0,10,10,0
869,12992,61,26,0.0,17,17,0
870,12991,61,2,12.0,9,9,0
871,12990,61,24,0.0,18,18,0
872,12989,61,14,8.0,11,11,0
